0
Artocarpus Heterophyllus(nangka)
Brassica Juncea(sawi hijau)
Citrus Limon(jeruk at lemon)
Hibiscus Rosa-sinensis (Bunga Kembang Sepatu)
Jambu biji (Psidium guajava)
Mangifera Indica (mangga)
Moringa Oleifera (kelor)
Muntingia Calabura(daun gersen)
